EmpID,BiasInfluentialFactor,FitmentPercent
2693,YearsOfExperince,83.12
22436,Gender,81.23
8840,Gender,80.81
4130,CurrentCompanyType,74.44
13577,YearsOfExperince,74.2
16463,YearsOfExperince,75.66
15922,MartialStatus,80.79
16368,,59.46
18819,DegreeBranch,80.66
14057,EmpScore,80.94
12793,DegreeBranch,81.79
12592,YearsOfExperince,81.0
18919,Gender,82.42
20836,DegreeBranch,80.23
16849,,77.9
17458,Gender,76.33
3924,DegreeBranch,83.25
9026,EmpScore,81.01
6304,YearsOfExperince,82.35
12307,YearsOfExperince,80.55
17526,,68.65
11500,,65.52
11333,DegreeBranch,76.91
12156,YearsOfExperince,69.92
11591,YearsOfExperince,79.41
16930,,68.89
18677,DegreeBranch,79.04
14424,DegreeBranch,80.8
24095,,59.55
21803,LatestDegreeCGPA,81.17
24365,,67.32
21897,,76.89
12218,,69.75
6426,,76.71
18233,Gender,76.21
16313,Gender,81.08
19552,YearsOfExperince,80.09
3394,,52.7
21300,YearsOfExperince,81.74
19989,DegreeBranch,79.11
18968,Gender,79.91
17609,Gender,82.82
6393,YearsOfExperince,71.61
18566,LatestDegreeCGPA,68.98
18652,Gender,79.35
6284,EmpScore,90.83
10974,Gender,83.25
9330,DegreeBranch,81.26
20382,DegreeBranch,81.44
14652,,66.59
15787,Gender,80.59
19436,,68.87
7393,MartialStatus,80.6
9058,DegreeBranch,80.6
11633,,53.74
13719,,77.41
11529,YearsOfExperince,80.42
10025,,58.46
14861,YearsOfExperince,81.39
9580,Gender,81.57
14427,CurrentCompanyType,69.22
20740,HighestDegree,81.32
18768,DegreeBranch,81.55
20259,Gender,82.72
18190,YearsOfExperince,78.87
11050,DegreeBranch,67.79
21005,Gender,80.96
17701,,78.13
10792,DegreeBranch,82.38
2785,CurrentCompanyType,63.14
15529,HighestDegree,82.89
21480,YearsOfExperince,83.29
6154,YearsOfExperince,82.88
5826,HighestDegree,81.23
11819,DegreeBranch,82.05
21236,EmpScore,80.38
8350,,69.87
15823,Gender,81.5
9144,Gender,82.62
13558,EmpScore,80.8
16434,Gender,76.44
21895,,68.16
22161,,67.51
12676,,67.96
8441,,65.67
19130,,68.32
23954,,57.26
23367,Gender,80.84
20027,Gender,76.41
3999,,58.49
22447,YearsOfExperince,78.03
11876,,80.96
15118,,69.42
11302,YearsOfExperince,80.4
13884,Gender,77.54
22852,Gender,81.53
3287,DegreeBranch,81.39
5784,YearsOfExperince,77.52
24277,DegreeBranch,80.48
13926,Gender,78.17
2852,DegreeBranch,78.03
5124,,69.07
22611,,65.58
14877,,81.5
20937,,59.89
16154,Gender,81.61
20388,YearsOfExperince,78.92
22392,DegreeBranch,83.82
4555,,59.97
17815,,60.63
20186,DegreeBranch,81.41
23435,Gender,81.23
16770,DegreeBranch,81.46
8341,LatestDegreeCGPA,65.45
13552,DegreeBranch,85.0
3915,DegreeBranch,79.69
23201,DegreeBranch,80.95
7425,EmpScore,81.74
4966,Gender,71.9
2772,DegreeBranch,83.22
22279,DegreeBranch,82.66
15389,,53.3
10680,,70.74
7030,MartialStatus,80.95
10250,,69.43
19636,CurrentCompanyType,71.83
15436,YearsOfExperince,84.24
8730,DegreeBranch,82.04
21298,EmpScore,81.17
8517,,61.29
10527,,67.0
21230,Gender,74.93
18809,DegreeBranch,81.67
3934,YearsOfExperince,75.7
10115,YearsOfExperince,78.17
19773,YearsOfExperince,77.16
16014,EmpScore,79.47
7312,EmpScore,82.7
14091,Gender,81.7
8717,,65.76
8953,DegreeBranch,81.81
17773,,79.59
2872,,85.11
21162,Gender,80.5
15809,,66.06
11754,Gender,75.21
9338,DegreeBranch,70.19
11212,YearsOfExperince,80.77
5007,DegreeBranch,71.95
5601,,59.43
17520,DegreeBranch,81.62
20883,,66.89
3944,YearsOfExperince,82.54
6887,EmpScore,80.84
20677,YearsOfExperince,67.11
20521,Gender,80.78
12514,Gender,80.11
23706,Gender,83.37
13513,YearsOfExperince,67.88
18729,YearsOfExperince,79.61
22103,Gender,81.87
15153,DegreeBranch,80.33
10525,Gender,80.3
8397,DegreeBranch,80.41
11678,,51.83
8262,Gender,81.24
17024,,68.53
11735,Gender,82.21
8527,Gender,75.83
9452,,65.34
23975,DegreeBranch,84.25
15880,LatestDegreeCGPA,79.48
9497,DegreeBranch,83.24
22405,DegreeBranch,81.86
17448,,67.19
19791,DegreeBranch,81.29
4062,CurrentCompanyType,68.39
8915,DegreeBranch,77.71
14298,HighestDegree,81.16
12434,Gender,81.57
12028,HighestDegree,82.73
17305,DegreeBranch,81.4
9426,CurrentCompanyType,68.67
10131,Gender,81.84
9652,Gender,78.13
14477,Gender,74.13
2091,Gender,81.52
3821,DegreeBranch,81.5
12396,,68.87
14241,YearsOfExperince,68.76
23742,DegreeBranch,79.28
19466,,56.26
5883,MartialStatus,82.61
24132,DegreeBranch,68.31
16250,EmpScore,82.22
16401,LatestDegreeCGPA,68.37
4824,YearsOfExperince,82.58
10957,YearsOfExperince,80.3
11750,DegreeBranch,80.05
13935,,82.57
16029,Gender,82.44
9295,YearsOfExperince,80.31
21345,,66.19
22123,Gender,83.42
19872,Gender,82.52
17118,HighestDegree,82.84
17121,MartialStatus,81.9
6966,DegreeBranch,70.89
24062,YearsOfExperince,84.13
9238,HighestDegree,70.05
6590,YearsOfExperince,80.32
4352,,65.04
8562,YearsOfExperince,66.97
9557,YearsOfExperince,81.64
7737,YearsOfExperince,78.42
11090,,61.88
2898,LatestDegreeCGPA,57.34
12094,,76.0
10557,Gender,80.3
19360,Gender,80.98
12173,DegreeBranch,70.65
18496,EmpScore,80.06
4044,,61.75
8828,Gender,79.26
5822,DegreeBranch,79.49
4800,,55.42
19690,EmpScore,80.24
13470,DegreeBranch,77.12
17247,DegreeBranch,82.75
19126,Gender,81.71
17279,Gender,80.18
11804,Gender,81.5
15672,YearsOfExperince,79.36
6921,YearsOfExperince,80.67
16364,YearsOfExperince,80.23
3186,,56.13
20973,,51.71
24245,DegreeBranch,82.14
23278,DegreeBranch,78.58
13294,DegreeBranch,81.72
4768,Gender,82.08
22217,DegreeBranch,80.47
12584,YearsOfExperince,81.15
8578,Gender,83.68
10623,DegreeBranch,82.01
7326,,69.14
14092,DegreeBranch,81.67
14482,,52.4
22022,DegreeBranch,83.13
23284,DegreeBranch,84.45
23999,,67.39
10655,MartialStatus,81.51
24045,EmpScore,83.48
4986,Gender,81.34
22449,DegreeBranch,80.48
10719,DegreeBranch,80.5
14917,Gender,80.57
18926,YearsOfExperince,73.79
5227,DegreeBranch,82.48
22606,CurrentCompanyType,73.31
5037,LatestDegreeCGPA,62.09
13962,Gender,80.92
7418,YearsOfExperince,79.85
12572,EmpScore,85.16
10207,DegreeBranch,75.64
20347,YearsOfExperince,75.74
12982,CurrentCompanyType,70.38
7210,,49.8
19779,DegreeBranch,81.98
16265,YearsOfExperince,79.53
23858,YearsOfExperince,81.6
19926,YearsOfExperince,84.82
9915,MartialStatus,81.44
14873,DegreeBranch,80.45
23033,,60.84
20379,,65.69
23862,Gender,80.35
3961,DegreeBranch,81.35
20156,,58.02
2845,,66.6
21319,Gender,80.78
23319,,80.77
11447,Gender,81.47
23088,Gender,74.17
13532,EmpScore,81.21
22777,Gender,82.92
3951,DegreeBranch,64.94
19597,YearsOfExperince,75.5
21097,HighestDegree,80.21
7022,,80.46
4812,,61.51
13103,DegreeBranch,83.4
17395,DegreeBranch,80.66
2363,DegreeBranch,80.6
6311,DegreeBranch,76.65
16964,DegreeBranch,81.35
10553,Gender,80.56
19740,DegreeBranch,83.03
5133,CurrentCompanyType,67.25
22171,YearsOfExperince,81.42
20617,DegreeBranch,81.77
6662,Gender,81.37
23903,Gender,82.95
18027,,68.5
10298,MartialStatus,80.31
21972,,61.62
11690,Gender,78.98
16309,YearsOfExperince,84.93
20202,EmpScore,81.0
22074,DegreeBranch,71.1
6309,DegreeBranch,82.23
13662,,51.29
4078,YearsOfExperince,80.65
15188,,71.15
15476,,51.29
8200,,57.36
19412,DegreeBranch,79.68
14712,HighestDegree,80.56
3415,LatestDegreeCGPA,58.2
5453,DegreeBranch,82.04
15238,Gender,81.61
19323,HighestDegree,83.4
23188,DegreeBranch,81.4
6591,EmpScore,78.92
12101,DegreeBranch,82.1
17146,Gender,82.0
9146,,69.33
22775,,75.8
13751,DegreeBranch,82.22
11226,Gender,82.56
3850,Gender,72.41
14997,HighestDegree,69.53
22434,,52.77
5269,Gender,82.48
13380,EmpScore,81.08
22670,HighestDegree,81.62
15129,,68.52
6112,,65.64
19858,MartialStatus,80.22
3195,DegreeBranch,81.68
15081,,66.51
12625,,72.98
2394,,61.35
11722,EmpScore,80.71
10487,,50.02
6716,,67.95
21686,Gender,82.87
23385,Gender,80.36
20061,,69.4
13274,YearsOfExperince,77.95
6434,EmpScore,81.5
11018,YearsOfExperince,80.98
7633,,56.48
3647,EmpScore,80.01
8764,YearsOfExperince,83.36
5462,EmpScore,79.17
5482,YearsOfExperince,81.5
10636,EmpScore,80.77
13206,MartialStatus,80.48
5099,,61.07
10010,DegreeBranch,80.37
6082,EmpScore,81.14
13048,,81.55
19864,Gender,83.54
11227,,65.51
4186,DegreeBranch,80.62
4195,DegreeBranch,76.76
15060,Gender,79.98
11001,Gender,74.57
2340,DegreeBranch,74.11
22965,DegreeBranch,81.75
5148,,81.07
13601,DegreeBranch,83.27
9076,DegreeBranch,81.83
20026,YearsOfExperince,73.86
16062,DegreeBranch,80.77
16983,DegreeBranch,80.59
4603,,68.82
23344,Gender,72.93
8109,,65.06
14277,Gender,81.76
12639,EmpScore,82.37
24128,Gender,80.47
15262,YearsOfExperince,80.74
11037,DegreeBranch,78.33
8586,CurrentCompanyType,54.23
18481,DegreeBranch,69.26
11232,LatestDegreeCGPA,59.72
12038,YearsOfExperince,82.43
5802,DegreeBranch,69.27
8631,LatestDegreeCGPA,60.37
13476,YearsOfExperince,82.88
13947,LatestDegreeCGPA,68.16
16601,DegreeBranch,82.11
6751,,51.59
16303,,76.67
12486,CurrentCompanyType,74.16
19548,Gender,71.52
6731,Gender,83.35
5410,YearsOfExperince,82.43
7365,YearsOfExperince,80.85
14636,YearsOfExperince,78.31
15825,,67.72
18432,EmpScore,80.77
8161,YearsOfExperince,81.81
9168,,82.18
5368,DegreeBranch,81.24
16755,,82.52
14554,DegreeBranch,79.35
2859,Gender,81.79
11652,Gender,79.2
2715,Gender,81.67
17972,,46.88
14439,YearsOfExperince,82.09
7135,,58.21
9082,DegreeBranch,81.1
6327,YearsOfExperince,74.34
20135,YearsOfExperince,83.45
9598,Gender,77.69
9479,DegreeBranch,76.81
8531,,59.87
17576,,66.71
7868,Gender,76.53
4704,Gender,79.82
2227,Gender,83.74
12599,EmpScore,77.37
20120,YearsOfExperince,80.36
22992,,60.92
11003,,55.35
12372,Gender,79.85
8545,DegreeBranch,76.91
2197,,50.42
20102,EmpScore,81.29
19447,DegreeBranch,80.9
12226,DegreeBranch,81.59
22898,Gender,73.86
21509,DegreeBranch,79.66
19625,Gender,81.6
9993,Gender,82.35
12900,DegreeBranch,82.91
11775,,78.47
21533,YearsOfExperince,81.09
6712,Gender,78.17
2667,EmpScore,82.89
11924,DegreeBranch,79.71
12068,Gender,82.48
6016,Gender,80.72
21718,,58.67
6832,,49.93
9444,EmpScore,82.52
21789,CurrentCompanyType,75.01
12651,DegreeBranch,76.61
5438,Gender,81.57
17094,,66.29
2467,,68.71
3295,Gender,81.2
2298,MartialStatus,79.37
9374,YearsOfExperince,76.55
8325,YearsOfExperince,81.95
20077,CurrentCompanyType,65.35
9976,Gender,76.1
20755,YearsOfExperince,80.09
8582,,81.6
17002,Gender,75.72
14742,EmpScore,82.92
6849,CurrentCompanyType,71.48
23690,HighestDegree,81.4
2723,,69.83
23389,Gender,81.17
4551,Gender,79.71
24155,DegreeBranch,80.25
17986,,66.35
3173,YearsOfExperince,80.09
4753,YearsOfExperince,83.12
6047,YearsOfExperince,76.06
12630,DegreeBranch,79.8
8896,Gender,82.14
17455,HighestDegree,76.14
10654,,68.19
20375,CurrentCompanyType,69.92
16180,,81.7
24323,,51.48
17430,DegreeBranch,82.5
10603,,80.89
23431,Gender,80.55
23339,DegreeBranch,81.6
19068,DegreeBranch,80.05
8797,DegreeBranch,83.07
11220,YearsOfExperince,80.42
20244,Gender,75.97
15150,,55.1
2145,YearsOfExperince,80.58
2643,EmpScore,78.94
19659,,68.51
22395,,68.82
16986,CurrentCompanyType,67.65
2938,Gender,74.8
23372,Gender,82.25
7675,Gender,74.18
12534,HighestDegree,79.97
22145,Gender,79.5
22403,DegreeBranch,80.32
8865,HighestDegree,81.61
16766,,61.88
14573,HighestDegree,81.54
17938,CurrentCompanyType,69.9
20913,DegreeBranch,78.9
2707,DegreeBranch,79.84
10035,,77.87
2342,HighestDegree,80.87
18984,,70.77
10572,EmpScore,81.23
14851,LatestDegreeCGPA,67.83
2644,Gender,79.46
23598,DegreeBranch,81.31
5695,Gender,75.44
8049,Gender,81.26
2907,Gender,76.28
17672,,60.67
23746,YearsOfExperince,80.52
18424,,68.08
20530,EmpScore,81.71
14918,EmpScore,81.94
9320,CurrentCompanyType,67.48
3024,HighestDegree,81.37
8489,,61.03
16070,DegreeBranch,81.97
7289,,59.87
7789,EmpScore,80.11
12493,Gender,75.69
10076,,66.72
22870,,69.08
18113,DegreeBranch,79.49
14232,EmpScore,82.58
18076,HighestDegree,83.38
19544,YearsOfExperince,81.2
2470,DegreeBranch,80.13
12813,CurrentCompanyType,51.87
12270,CurrentCompanyType,69.46
19184,EmpScore,81.46
13584,,77.6
4339,,62.92
17914,YearsOfExperince,81.92
10917,Gender,79.83
15879,MartialStatus,81.23
6427,CurrentCompanyType,66.83
14040,Gender,72.61
16305,Gender,80.08
16513,Gender,81.18
8960,HighestDegree,76.78
13799,,61.05
5379,Gender,75.48
20457,YearsOfExperince,79.47
18933,,81.07
19281,,54.73
10128,,61.09
18061,Gender,80.66
2174,,62.76
18838,DegreeBranch,80.19
6795,Gender,82.42
3224,,58.0
10831,DegreeBranch,82.58
5177,Gender,77.14
17845,,67.43
16084,EmpScore,80.14
10823,HighestDegree,79.13
22135,Gender,81.49
14894,,61.88
6721,,67.85
23929,Gender,79.8
4683,DegreeBranch,79.6
21939,DegreeBranch,83.39
4619,,66.92
4059,DegreeBranch,80.37
4750,Gender,76.51
16333,,52.23
7631,Gender,76.19
17571,YearsOfExperince,76.66
13223,DegreeBranch,82.78
6116,EmpScore,80.15
14670,EmpScore,80.94
23632,,59.28
14677,DegreeBranch,78.34
19234,YearsOfExperince,77.82
5523,Gender,81.11
11495,,69.98
23168,,51.76
5302,DegreeBranch,82.5
7925,HighestDegree,77.27
11796,,66.73
22722,,62.04
11147,DegreeBranch,81.87
3271,,64.66
7532,,63.0
22718,DegreeBranch,81.28
7002,HighestDegree,74.19
23799,,66.81
20117,DegreeBranch,82.43
8931,DegreeBranch,81.68
12655,DegreeBranch,82.5
10456,Gender,78.29
21352,EmpScore,76.23
8532,,66.5
4890,YearsOfExperince,80.05
22035,DegreeBranch,78.0
12366,YearsOfExperince,81.57
24342,Gender,86.31
9218,Gender,79.0
2918,DegreeBranch,73.2
22751,EmpScore,82.6
9299,DegreeBranch,81.94
10116,YearsOfExperince,75.8
19046,,67.58
5724,,64.87
17626,Gender,81.8
10874,MartialStatus,80.16
17574,Gender,85.68
12772,YearsOfExperince,76.87
18545,CurrentCompanyType,67.98
16172,YearsOfExperince,82.84
18997,DegreeBranch,81.44
24142,YearsOfExperince,69.61
10818,DegreeBranch,81.68
14909,DegreeBranch,77.63
7996,Gender,76.68
11575,YearsOfExperince,82.66
7740,,78.64
16074,,60.58
21831,YearsOfExperince,65.92
18339,DegreeBranch,82.56
8211,,68.87
23062,DegreeBranch,80.93
18654,YearsOfExperince,82.67
16230,YearsOfExperince,79.78
19747,DegreeBranch,82.94
11439,DegreeBranch,80.3
2888,CurrentCompanyType,69.15
15800,DegreeBranch,81.79
2676,HighestDegree,80.94
8530,Gender,80.99
24046,DegreeBranch,84.24
7119,EmpScore,82.46
20691,MartialStatus,78.64
23702,DegreeBranch,78.37
4334,,78.9
19630,Gender,80.78
19977,LatestDegreeCGPA,66.83
11601,DegreeBranch,80.04
18181,Gender,81.5
14495,,60.86
5433,MartialStatus,81.02
2708,MartialStatus,83.5
19110,Gender,78.11
8077,Gender,75.81
6574,DegreeBranch,68.12
12076,,80.08
3813,HighestDegree,79.8
7864,Gender,81.41
15259,HighestDegree,80.87
19304,,83.15
12613,EmpScore,80.17
6340,,52.16
13726,DegreeBranch,76.75
21799,Gender,80.61
18946,,64.91
22904,,54.59
12715,,54.96
5464,HighestDegree,76.52
2885,EmpScore,82.47
8175,,76.63
18310,Gender,73.43
21078,YearsOfExperince,80.32
13869,YearsOfExperince,75.59
15964,YearsOfExperince,81.35
21048,DegreeBranch,73.01
14638,EmpScore,80.27
21982,,75.58
5750,DegreeBranch,80.15
23484,Gender,75.0
23656,DegreeBranch,81.89
18479,Gender,81.11
11695,HighestDegree,79.56
7842,Gender,76.33
2092,YearsOfExperince,80.72
10587,Gender,79.36
6208,Gender,82.63
4927,,52.27
17015,,65.71
6074,,57.88
18384,,81.45
24181,Gender,80.56
20806,,66.96
16059,,58.54
6400,,68.14
3219,Gender,79.61
17911,,53.91
9737,,69.34
17547,EmpScore,84.62
22355,YearsOfExperince,81.43
9500,Gender,79.87
11509,,53.08
13707,YearsOfExperince,79.06
4624,DegreeBranch,80.96
21760,Gender,77.63
10948,DegreeBranch,80.46
23985,Gender,80.7
10479,HighestDegree,84.05
19231,DegreeBranch,71.5
5709,DegreeBranch,80.6
13431,Gender,82.29
22981,Gender,82.6
6933,EmpScore,79.96
14159,Gender,74.68
16588,,78.91
11588,,76.84
12666,DegreeBranch,82.46
4953,DegreeBranch,81.25
11252,EmpScore,82.13
8297,YearsOfExperince,82.14
10845,DegreeBranch,79.3
8944,HighestDegree,81.69
23139,DegreeBranch,80.4
19518,MartialStatus,82.57
12990,CurrentCompanyType,68.6
14291,DegreeBranch,75.96
14179,,54.71
9680,DegreeBranch,83.52
13664,YearsOfExperince,81.08
8516,,79.18
10647,CurrentCompanyType,70.34
8171,YearsOfExperince,80.44
17394,Gender,78.82
17058,HighestDegree,83.33
6873,DegreeBranch,67.4
15125,YearsOfExperince,77.23
6127,MartialStatus,79.59
21042,MartialStatus,79.93
16063,,67.73
4621,YearsOfExperince,80.57
14416,DegreeBranch,68.2
18397,YearsOfExperince,82.94
5120,HighestDegree,84.83
12551,,68.79
20025,,68.01
14404,DegreeBranch,82.02
18728,DegreeBranch,81.14
5771,Gender,80.14
24313,Gender,74.95
9022,Gender,81.71
5716,DegreeBranch,78.96
18757,,65.45
11829,,67.6
10398,Gender,82.02
18508,EmpScore,82.97
18302,CurrentCompanyType,63.03
23412,,69.55
12476,YearsOfExperince,80.96
3485,,65.74
20115,Gender,80.74
17304,,50.31
3347,Gender,75.36
13474,YearsOfExperince,70.43
19974,Gender,80.07
18300,Gender,80.94
23366,,58.44
2109,DegreeBranch,80.3
21959,YearsOfExperince,69.41
19383,YearsOfExperince,79.93
24267,,58.58
21887,DegreeBranch,78.78
12162,HighestDegree,83.84
12708,CurrentCompanyType,65.67
21563,Gender,83.14
16500,,54.54
12807,MartialStatus,80.3
2592,,68.54
4148,,76.82
4464,,61.02
12988,Gender,84.23
20303,DegreeBranch,77.46
11657,DegreeBranch,80.15
12932,,65.92
21458,Gender,74.35
16997,Gender,80.55
2479,DegreeBranch,82.13
17759,DegreeBranch,82.3
3616,LatestDegreeCGPA,53.52
4222,DegreeBranch,80.79
14001,DegreeBranch,79.35
10286,DegreeBranch,79.47
12965,YearsOfExperince,81.28
21357,,68.19
7914,YearsOfExperince,72.25
22661,YearsOfExperince,80.46
4374,YearsOfExperince,84.08
5881,Gender,81.42
3602,Gender,75.19
23102,,57.44
6184,Gender,81.8
24265,YearsOfExperince,74.22
19545,,65.96
18701,,81.91
23802,DegreeBranch,83.72
22013,,69.08
5199,,59.4
2043,HighestDegree,79.74
13098,MartialStatus,85.83
5770,,69.62
12040,Gender,83.21
16754,DegreeBranch,82.55
11831,Gender,80.15
22645,DegreeBranch,77.97
15966,Gender,81.43
19457,,60.92
20542,,61.36
21023,,66.12
8310,EmpScore,81.74
7341,DegreeBranch,69.21
23986,Gender,81.88
22795,,66.76
20249,MartialStatus,79.84
13854,,65.48
15936,CurrentCompanyType,65.92
24083,EmpScore,81.55
18836,,57.94
18570,Gender,74.99
17384,DegreeBranch,76.25
22672,,52.17
9730,HighestDegree,81.88
3393,,67.64
20106,YearsOfExperince,81.94
9258,DegreeBranch,83.08
23865,,52.01
7286,EmpScore,82.62
21985,,63.58
2711,,61.23
15319,Gender,79.09
11776,Gender,82.33
19563,Gender,80.27
11364,Gender,76.69
7921,YearsOfExperince,80.28
24288,Gender,76.33
22676,HighestDegree,82.9
14650,Gender,81.2
13716,,53.86
16663,,67.42
23789,,61.32
23904,DegreeBranch,82.4
24199,EmpScore,80.46
18322,,75.12
23876,,80.53
18685,,80.2
10788,YearsOfExperince,81.1
11314,,66.55
10982,DegreeBranch,82.24
5341,,66.17
19136,Gender,81.92
13511,EmpScore,82.65
15520,CurrentCompanyType,66.47
5176,DegreeBranch,81.32
6765,Gender,80.73
7622,,59.25
20256,DegreeBranch,80.56
10512,EmpScore,84.67
18035,,60.77
17915,DegreeBranch,80.39
10082,DegreeBranch,82.6
17007,DegreeBranch,82.0
17646,EmpScore,79.87
15092,,68.53
8716,Gender,82.34
18387,,70.54
3105,,65.59
16580,,65.11
15778,,67.66
12418,Gender,81.35
3472,MartialStatus,82.73
7073,DegreeBranch,82.36
12029,EmpScore,80.44
12834,DegreeBranch,79.91
4089,DegreeBranch,68.01
3236,EmpScore,81.55
17784,Gender,81.29
21368,DegreeBranch,86.34
17298,DegreeBranch,71.59
15071,DegreeBranch,81.34
20792,Gender,80.27
12108,EmpScore,82.47
14059,YearsOfExperince,80.51
6884,DegreeBranch,77.84
8035,,66.74
11935,YearsOfExperince,83.47
6545,DegreeBranch,80.64
6725,Gender,81.9
12830,MartialStatus,80.04
20720,EmpScore,81.16
9957,,80.02
7484,EmpScore,81.93
3936,Gender,77.86
14140,YearsOfExperince,86.48
13238,Gender,79.36
22894,YearsOfExperince,83.34
14787,Gender,81.9
21622,YearsOfExperince,76.23
14528,EmpScore,82.18
2818,,68.49
11406,,69.04
17830,YearsOfExperince,82.04
18837,DegreeBranch,81.06
9997,,65.94
19543,YearsOfExperince,72.6
2069,DegreeBranch,82.96
23430,,66.86
8848,Gender,72.78
16331,YearsOfExperince,79.01
4361,EmpScore,80.47
14786,DegreeBranch,84.71
20707,,68.04
14856,DegreeBranch,82.88
11666,DegreeBranch,81.47
16055,,61.44
22595,,67.17
9536,Gender,80.13
16879,YearsOfExperince,81.66
11112,MartialStatus,81.01
4039,Gender,77.84
10449,,67.84
17441,,81.58
21122,MartialStatus,81.48
7888,CurrentCompanyType,67.08
3577,DegreeBranch,83.15
5478,Gender,76.59
7657,YearsOfExperince,83.52
2695,DegreeBranch,79.78
5618,,66.13
11187,Gender,83.63
2719,Gender,82.48
6421,,53.12
2199,Gender,82.11
13143,DegreeBranch,82.21
20601,,72.05
11802,Gender,79.65
18485,,66.74
22895,YearsOfExperince,82.2
21101,DegreeBranch,70.44
15267,,67.1
7396,,57.73
18214,Gender,75.81
23828,,59.32
6521,DegreeBranch,81.47
18308,DegreeBranch,85.44
9779,YearsOfExperince,77.19
18732,,55.51
18383,YearsOfExperince,79.86
8607,YearsOfExperince,82.54
19367,EmpScore,82.23
16067,Gender,80.82
21107,YearsOfExperince,80.18
18428,,62.63
22680,YearsOfExperince,80.37
13343,Gender,80.8
5562,,67.2
5804,DegreeBranch,83.13
11143,Gender,81.42
10554,,61.34
12782,HighestDegree,83.04
8421,,81.69
11327,Gender,80.42
2310,DegreeBranch,82.64
15975,Gender,75.46
17859,,61.95
7436,Gender,83.18
13555,Gender,84.01
6009,CurrentCompanyType,67.16
21325,,63.78
2084,DegreeBranch,82.35
4452,HighestDegree,78.76
11430,,81.35
10765,YearsOfExperince,81.29
15629,DegreeBranch,78.96
11964,,67.82
23725,,60.65
8561,DegreeBranch,82.05
9172,,68.12
2421,Gender,81.97
19063,YearsOfExperince,81.23
23309,EmpScore,81.51
7175,,75.18
8793,,77.11
14503,,68.88
7640,,54.71
15944,YearsOfExperince,79.57
12332,CurrentCompanyType,70.54
2200,YearsOfExperince,79.27
16626,DegreeBranch,81.81
7245,EmpScore,84.06
20874,EmpScore,81.91
11836,,66.37
17159,,55.32
5561,,65.56
10390,HighestDegree,80.09
12801,EmpScore,81.1
17480,YearsOfExperince,82.53
21804,Gender,73.38
21500,YearsOfExperince,82.76
13678,,50.43
9840,YearsOfExperince,80.56
4388,,68.52
19129,,67.65
5731,YearsOfExperince,77.88
15251,HighestDegree,82.14
14513,DegreeBranch,77.76
10721,CurrentCompanyType,69.59
